ID_REF,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene Symbol,Gene Description
1372256_at,-1.55641397166667,9.819772880833334,-11.91507605529527,1.07333629239331e-05,0.127998046335352,2.77508149354095,LOC691657,similar to Cysteine-rich protein 1 (Cysteine-rich intestinal protein) (CRIP)
1367627_at,-1.403201103333334,6.717284997333334,-11.74025563943991,1.17839968682013e-05,0.127998046335352,2.728948018660388,Gatm,glycine amidinotransferase (L-arginine:glycine amidinotransferase)
1370012_at,-1.75254090766667,10.0933175095,-10.95128511993492,1.826025671429353e-05,0.127998046335352,2.502746077788819,Ptgis,prostaglandin I2 (prostacyclin) synthase
1380287_at,-1.614277839666667,5.8434824945,-10.36801234337213,2.572263669877696e-05,0.127998046335352,2.314424769318594,RGD1566107,similar to cAMP responsive element binding protein 5
1384036_s_at,-1.944955349666668,7.2190016905,-9.497624678322929,4.435713261291269e-05,0.1724328083911215,1.994403986363952,LOC685277,similar to liver-specific bHLH-Zip transcription factor
1369125_at,-1.122585137666668,5.786095062833334,-7.962799659715442,0.0001302530510218,0.2307645980279637,1.289049172427529,Htr2a,5-hydroxytryptamine (serotonin) receptor 2A
1384035_at,-1.896085898000001,7.235501050666667,-7.375825011491991,0.0002060883750756,0.2307645980279637,0.9605365265588546,LOC685277,similar to liver-specific bHLH-Zip transcription factor
1387493_at,-1.222893555666668,6.0254344145,-7.368747868204884,0.0002072688998848,0.2307645980279637,0.9563461020689958,Akap5,A kinase (PRKA) anchor protein 5
1373697_at,-2.210351626,6.059069792333333,-6.782278162289346,0.0003381182685815,0.2307645980279637,0.5884673451467792,Mybpc2,"myosin binding protein C, fast-type"
1382190_at,-1.578310490000001,8.551770289666667,-6.60496795959657,0.0003946140933951,0.2307645980279637,0.4687866779575725,Mrgprf,"MAS-related GPR, member F"
1384752_at,-1.215310414666667,5.041740735333334,-6.375654917922149,0.0004842224730167,0.2307645980279637,0.3077842184377451,LOC689770,similar to osteoclast inhibitory lectin
1387873_at,-1.039303462000001,8.870960553333333,-6.015086897779275,0.0006757501036183,0.2307645980279637,0.0397121393121766,Wfdc1,WAP four-disulfide core domain 1
1374237_at,-1.572773139000001,7.298365195833333,-5.832176600329424,0.0008047550311011,0.2307645980279637,-0.1035926813049235,Lmod1,leiomodin 1 (smooth muscle)
1393563_at,-1.416363557000002,6.004379669833334,-5.743945602424938,0.0008767558621579,0.2307645980279637,-0.174547929321891,Il1rap,interleukin 1 receptor accessory protein
1388340_at,-1.370522816000002,9.097586313333334,-5.607042063256641,0.0010033067437812,0.2307645980279637,-0.2870581587947889,Ns5atp9,NS5A (hepatitis C virus) transactivated protein 9
1392496_at,-2.157403707333335,5.228831887,-5.508510870852797,0.0011071295678318,0.2307645980279637,-0.3698822347377941,LOC312273,Trypsin V-A
1370703_at,-1.670311769000002,6.100158929833333,-5.479991524440957,0.0011393971798713,0.2307645980279637,-0.3941482372133445,Mrgprf,"MAS-related GPR, member F"
1388054_a_at,-1.322421392000002,8.704006195,-5.368851851942503,0.0012756315178077,0.2307645980279637,-0.4899836969405529,Vcan,versican
1370291_at,-1.435630481666667,10.80960734583333,-5.188518309506782,0.0015374148284559,0.2307645980279637,-0.6498596136693084,Pdlim3,PDZ and LIM domain 3
1367813_at,-1.250129381666668,8.8817270595,-5.159205087886907,0.0015854195761345,0.2307645980279637,-0.6763669805460548,Ppp1r14a,"protein phosphatase 1, regulatory (inhibitor) subunit 14A"
1368147_at,-1.059339841000001,9.0388503075,-5.04905838201265,0.0017814230045535,0.2307645980279637,-0.7772883479923358,Dusp1,dual specificity phosphatase 1
1388604_at,-2.461014905000003,9.0896165365,-5.005753978932806,0.001865799249716,0.2307645980279637,-0.8175404589395212,Casq1,calsequestrin 1
1389408_at,-1.029692017000003,10.25435431816667,-5.00227944083904,0.0018727607035013,0.2307645980279637,-0.8207842450954272,Rrm2,ribonucleotide reductase M2
1368883_at,-2.163369813666669,10.14614693316667,-4.998513523306873,0.00188033879804,0.2307645980279637,-0.8243024381476314,Nov,nephroblastoma overexpressed gene
1372955_at,-1.435283343333335,8.877223173666666,-4.991983257939998,0.0018935610246481,0.2307645980279637,-0.8304090071145334,RGD1564793,similar to KIAA0965 protein
1385229_at,-1.073732693666667,6.2810460725,-4.990190548646557,0.0018972090101143,0.2307645980279637,-0.8320867048841496,Pcdh20,protocadherin 20
1371232_a_at,-1.191457430666668,8.683832009666666,-4.990054366137985,0.0018974864492124,0.2307645980279637,-0.8322141735309634,Vcan,versican
1370131_at,-1.164729755333336,9.758659522333334,-4.914502617999983,0.0020586420746458,0.2322125269057067,-0.9034326880859204,Cav1,"caveolin, caveolae protein 1"
1377631_at,-1.340849240666669,6.187438964666667,-4.810818017107114,0.0023052915370753,0.2322125269057067,-1.002810101188504,Col9a3,"procollagen, type IX, alpha 3"
1370334_at,-1.218091646666668,6.343472639666667,-4.775740143005677,0.0023960756761198,0.2322125269057067,-1.036863573004198,Plekhb1,"pleckstrin homology domain containing, family B (evectins) member 1"
1379586_at,-2.084786732666668,5.202979882666667,-4.710351279074545,0.0025761567992062,0.2322125269057067,-1.100930942541958,Adamts19,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 19"
1388265_x_at,-1.353582064333335,7.400423367833334,-4.603548303990273,0.0029036708525894,0.2322125269057067,-1.207232151186074,Vcan,versican
1398370_at,-1.214930851333336,9.368576685,-4.589530686524412,0.0029499995552301,0.2322125269057067,-1.221337270810456,Adarb1,"adenosine deaminase, RNA-specific, B1"
1368171_at,-1.206471443333335,10.52774286166667,-4.550826529915169,0.0030822481430602,0.2322125269057067,-1.260468543297301,Lox,lysyl oxidase
1393848_at,-1.224823475000003,8.4095882575,-4.531334774685557,0.003151337834043,0.2322125269057067,-1.280278694372552,Rrm2,ribonucleotide reductase M2
1369685_at,-1.077220519666668,4.283147692833333,-4.50880756047973,0.0032333414698829,0.2322125269057067,-1.303260236111277,Twist2,twist homolog 2 (Drosophila)
1372685_at,-1.023890654333336,8.777958313500001,-4.479449920352085,0.0033437924291316,0.2322125269057067,-1.333349109069916,Cdkn3,cyclin-dependent kinase inhibitor 3
1368547_at,-1.169604778333335,5.7982776165,-4.462572459725362,0.0034091845653795,0.2322125269057067,-1.350718326879017,Clec2d,"C-type lectin domain family 2, member d"
1393281_at,-1.037979442333334,10.3985225355,-4.329499029995953,0.003977490977084,0.2332845114630277,-1.489499556555151,Cav1,"caveolin, caveolae protein 1"
1389533_at,-1.287646296666668,10.85475842166667,-4.249994466493053,0.0043667543096784,0.2337378524555757,-1.573968767206974,Fbln2,fibulin 2
1392215_at,-1.665355364333335,6.2947820025,-4.235979176675678,0.0044396578637483,0.2339628765391679,-1.588980004933845,Ephb1,Eph receptor B1
1371074_a_at,-1.009611765,8.027176221166666,-4.169938404272497,0.0048018104555227,0.2370684482266562,-1.660201040888015,Mcm6,"minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)"
1388142_at,-1.538131556666666,9.171586117,-4.138274160192377,0.0049869446205994,0.2377623906368493,-1.694634146111822,Vcan,versican
1368172_a_at,-1.114038785666669,10.06390555716667,-4.090661426119183,0.005280352838218,0.2382272716350643,-1.746757947546547,Lox,lysyl oxidase
1378134_at,-1.470933915666667,9.394034704166668,-4.074286770953428,0.0053856256513928,0.2382272716350643,-1.764780429151626,Atp8b1,"ATPase, Class I, type 8B, member 1"
1392899_at,-1.031228701333336,8.476029873,-3.95263611992192,0.0062442622234717,0.2422225524942484,-1.900214194830416,Prc1,protein regulator of cytokinesis 1
1389404_at,-1.355037848000001,7.943049351333333,-3.952159594055246,0.0062479092063812,0.2422225524942484,-1.900750039157362,Foxs1,forkhead box S1
1379582_a_at,-1.163781961000002,8.742879311166666,-3.949575821608486,0.0062677244082216,0.2422225524942484,-1.9036561642824,Ccna2,cyclin A2
1367570_at,-1.250737190000003,11.97930447166667,-3.899400206461332,0.0066665736217473,0.2422225524942484,-1.960333037091534,Tagln,transgelin
1367785_at,-2.685731885666669,9.093072254166668,-3.880374595931602,0.0068250441289825,0.2428489420294001,-1.981943566587371,Cnn1,calponin 1
1368059_at,-1.111141205000002,8.619788169833333,-3.871731034973095,0.0068984037666203,0.2432774796839793,-1.991783189291333,Crym,"crystallin, mu"
1370033_at,-2.975786844333336,6.2767330805,-3.82183626569946,0.0073391802566279,0.2439348847903033,-2.048846503896905,Myl1,"myosin, light polypeptide 1"
1391722_at,-1.269042333333334,5.558071613333333,-3.800852091752644,0.0075337209150407,0.2439348847903033,-2.072979716431945,Hsf2bp,heat shock transcription factor 2 binding protein
1368448_at,-1.056155843333334,9.998972735,-3.73855774365283,0.0081453599691146,0.2462195332422813,-2.145087661722246,Ltbp2,latent transforming growth factor beta binding protein 2
1384231_at,-1.080114364333334,7.188187758166666,-3.703838515310423,0.0085097266623233,0.2468457390791725,-2.185576698750377,LOC687121,similar to Shc SH2-domain binding protein 1
1397341_at,-1.146433830000001,7.190424124333333,-3.685773991268386,0.0087063380667371,0.2469577502004859,-2.206727736680359,Pbk,PDZ binding kinase
1380138_at,-1.110017776666668,5.91819191,-3.676105387964087,0.0088136082021704,0.2469577502004859,-2.218071984992091,Hs6st2,heparan sulfate 6-O-sulfotransferase 2
1386441_at,-1.169082323666668,6.508788267833333,-3.636335086986766,0.0092703035176126,0.2476012646865576,-2.264907540683789,Galnt2,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2
1367849_at,-1.154928843333336,8.378724098,-3.630683627703018,0.0093372746205625,0.2476012646865576,-2.271585458814533,Sdc1,syndecan 1
1394559_at,-1.195734183000001,4.703325351166667,-3.609859660221096,0.0095886449194145,0.2476012646865576,-2.296239652490547,RGD1561444,similar to RIKEN cDNA 9530077C05
1382967_at,-1.083455880666668,5.272033135,-3.589010756862743,0.0098477399766587,0.2476012646865576,-2.32099878220804,Gpr64,G protein-coupled receptor 64
1388939_at,-1.560675302333334,9.085598627166666,-3.577858376333934,0.0099894639319369,0.2476012646865576,-2.334273648027186,Col15a1,"collagen, type XV, alpha 1"
1395765_at,-1.295269807333334,5.772637287666667,-3.57457157334878,0.0100316560689011,0.2476012646865576,-2.33819007516873,RGD1307396,similar to RIKEN cDNA 6330406I15
1383747_at,-1.056395213333333,8.15752697,-3.543646872467234,0.0104382898424192,0.2484212447161638,-2.375129583768025,Ect2,ect2 oncogene
1377869_at,-1.449796199666668,8.041798512166666,-3.52980518918424,0.0106260900766581,0.2484212447161638,-2.391716427189186,Ccrn4lb,CCR4 carbon catabolite repression 4-like B (S. cerevisiae)
1396055_at,-1.227285225666668,8.294004519833333,-3.524170317227235,0.0107035946231343,0.2484212447161638,-2.398478177765557,Col6a3,"procollagen, type VI, alpha 3"
1388131_at,-1.259232998000001,8.247867822666667,-3.498625886460423,0.0110627528125968,0.2498478937683008,-2.429198545651797,Tubb2b,"tubulin, beta 2b"
1369484_at,-1.396982510000003,10.845766225,-3.291701375694428,0.0145048938224459,0.2624774995913691,-2.682020879844031,Wisp2,WNT1 inducible signaling pathway protein 2
1378640_at,-1.070943196666667,6.626796245666666,-3.284763300162915,0.0146388254381242,0.2626744950155345,-2.690616628726128,Uhrf1,"ubiquitin-like, containing PHD and RING finger domains, 1"
1373089_at,-1.460338433666669,7.545572837166667,-3.266249278853424,0.0150028076294318,0.2630002646348092,-2.713590518797823,Cdh3,"cadherin 3, type 1, P-cadherin (placental)"
1397848_at,-1.380059401333335,5.085026661666667,-3.260092842409387,0.0151260001432578,0.2633722247710001,-2.721241665118215,RGD1307396,similar to RIKEN cDNA 6330406I15
1381533_at,-1.204472700666668,7.743766387333333,-3.200992528836444,0.0163657891728233,0.267135145486361,-2.794982971258206,Rnd1,Rho family GTPase 1
1368238_at,-2.248594128333335,10.02301414916667,-3.182340259131046,0.0167794976138535,0.2679149335233139,-2.818364122006991,Reg3b,regenerating islet-derived 3 beta
1379345_at,-1.701376122000001,9.039473137,-3.167827470021865,0.0171091869142798,0.2679149335233139,-2.836591548178238,Col15a1,"collagen, type XV, alpha 1"
1387504_at,-1.236246903666667,6.6957229775,-3.139304220114562,0.0177776614791776,0.269297366946393,-2.872504179192247,Il1rl2,interleukin 1 receptor-like 2
1369407_at,-2.028900145333335,9.651192982666666,-3.123836318356609,0.01815187703427,0.2695613862890073,-2.892027797736306,Tnfrsf11b,"tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)"
1368983_at,-1.449934641333334,8.025817235333333,-3.098325011679143,0.0187877015148345,0.2707099357090836,-2.924301570621741,Hbegf,heparin-binding EGF-like growth factor
1370135_at,-1.035538037666668,6.4619844755,-3.089677769824474,0.0190086152593277,0.2715133197271422,-2.935261473004932,Cav2,caveolin 2
1389146_at,-1.175680319333335,7.323142767,-3.065474300647741,0.0196419084262289,0.2727389115851913,-2.965992333365219,Fam107b,"family with sequence similarity 107, member B"
1394824_at,-1.371184349000002,8.147764364833334,-3.033040499470595,0.0205262730731796,0.2758637263276941,-3.007296416365949,Itga11,"integrin, alpha 11"
1367896_at,-1.874594687666669,8.3674432435,-3.032773066676822,0.0205337400940137,0.2758637263276941,-3.007637566612566,Car3,carbonic anhydrase 3
1381012_at,-1.198708852000002,6.401234150000001,-3.031165858896316,0.0205786764577031,0.2759707887702071,-3.009687995849142,Serpinf1,"serine (or cysteine) peptidase inhibitor, clade F, member 1"
1387355_at,-1.655589103666667,7.363667011166667,-2.99594143741153,0.021590437693877,0.2773446095719402,-3.054710188839172,Acan,aggrecan
1368527_at,-1.724178475000003,9.3494128395,-2.990338602597467,0.0217562171507757,0.2783954065072102,-3.061886066928824,Ptgs2,prostaglandin-endoperoxide synthase 2
1376977_at,-1.544005553333334,4.293450912,-2.875390412794191,0.0254752353790226,0.2870571713143107,-3.209945851845586,Ptger3,prostaglandin E receptor 3 (subtype EP3)
1387803_at,-1.068099816666668,7.091511488,-2.857500059594197,0.0261125118822606,0.2880910215523796,-3.233126138669496,Ppp2r2b,"protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform"
1388152_at,-1.082449039000001,4.7823004325,-2.83064625706075,0.0271010733270754,0.2911965111066061,-3.267984694321071,Mtap2,microtubule-associated protein 2
1371618_s_at,-1.500199318000002,7.154837608333334,-2.806356273989773,0.0280295012026751,0.2934833990390085,-3.299579652637257,Tubb3,"tubulin, beta 3"
1368884_at,-1.212776343,5.892608562833333,-2.78818624197011,0.0287460285979095,0.29510832234589,-3.323252781699974,Entpd1,ectonucleoside triphosphate diphosphohydrolase 1
1391593_at,-1.228642940333335,7.554012218833334,-2.782691440018075,0.0289665152438858,0.2953539860883949,-3.330418121273929,Rassf4,Ras association (RalGDS/AF-6) domain family member 4
1386977_at,-2.096234004000002,6.050215244333334,-2.775751754621583,0.0292475414746671,0.2967599648680828,-3.339471758612725,Car3,carbonic anhydrase 3
1398380_at,-1.195825656666669,5.008590181666666,-2.725320158635728,0.0313784450250707,0.3024812126572287,-3.405399394347529,Vwa1,von Willebrand factor A domain containing 1
1397173_at,-1.026487191333334,6.059914827333333,-2.722721890218904,0.0314925805721798,0.3025638015622076,-3.408802158117191,RGD1563131,"similar to Serine/threonine-protein kinase WNK3 (Protein kinase, lysine-deficient 3)"
1391693_at,-1.346245606666669,6.604763269333334,-2.711644862009203,0.0319841043713029,0.3030577408681656,-3.423315392938507,Atp8b1,"ATPase, Class I, type 8B, member 1"
1370927_at,-1.043218612666669,10.112657547,-2.672616201576572,0.0337813739260364,0.3045116979210168,-3.474531336002983,Col12a1,"collagen, type XII, alpha 1"
1387560_a_at,-1.382625580333335,5.015604972833334,-2.647452690253399,0.0349962751437328,0.3086639707019141,-3.507614994210976,Drp2,dystrophin related protein 2
1376377_at,-1.218052228333334,8.282083988166667,-2.642132652053634,0.035258959800065,0.3093062377919414,-3.514615411906333,Diap3,diaphanous homolog 3 (Drosophila)
1373674_at,-2.20797205,6.797610362333334,-2.599408250162329,0.0374450885749481,0.3134143212456954,-3.570904545591103,Mfap5,microfibrillar associated protein 5
1377379_at,-1.210443734666668,5.649643461,-2.571814505808899,0.0389321368911549,0.3171576351286098,-3.607320170331449,Irf6,interferon regulatory factor 6
1368836_a_at,-1.038160801000001,7.762434403166667,-2.546297105366826,0.0403622999370389,0.3204643299008098,-3.64103369665332,Acan,aggrecan
1370850_at,-1.018943945333334,5.498652378666667,-2.527560207097472,0.0414473064960752,0.3232170783128205,-3.665809959521486,Scn3b,"sodium channel, voltage-gated, type III, beta"
1368853_at,-1.138333479333335,6.236417691,-2.502013824881163,0.0429758620473048,0.3266358345669342,-3.699616422566006,Vsnl1,visinin-like 1
1370210_at,-1.291513919333334,5.110512654,-2.434436111465998,0.0473086867526705,0.3364778610362301,-3.789160783154189,Tmem158,transmembrane protein 158
1378321_at,-1.060483138000002,8.277224302333334,-2.398575060853594,0.049789575316037,0.3416996430089314,-3.836727763597981,Rassf4,Ras association (RalGDS/AF-6) domain family member 4
