ID_REF,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene Symbol,Gene Description
1384262_at,1.21635739,6.924789508,8.431458842608095,9.21072151970148e-05,0.2179041162376259,1.526258530871489,Ppp1r3b,"protein phosphatase 1, regulatory (inhibitor) subunit 3B"
1370237_at,1.105832416666665,10.98205947833333,8.383769294479281,9.534098144448766e-05,0.2179041162376259,1.503067985063707,Hadh,hydroxyacyl-Coenzyme A dehydrogenase
1380021_at,1.249571641333333,4.080049753,7.716700932541254,0.0001573289264801,0.2307645980279637,1.155784754844225,Dennd2d,DENN/MADD domain containing 2D
1376972_at,1.104220231666666,7.175446748833333,7.54812290845142,0.0001795765369176,0.2307645980279637,1.060818880292815,Slc40a1,"solute carrier family 39 (iron-regulated transporter), member 1"
1371439_at,1.000483830999999,8.804113070166666,7.271917475410876,0.0002242176787071,0.2307645980279637,0.898435962948354,Epb4.1,erythrocyte membrane protein band 4.1
1389757_at,1.117530187,7.2104934055,7.251156219700975,0.0002280534096793,0.2307645980279637,0.8858785139373371,RGD1310159,similar to acetyl-coA dehydrogenase -related (111.6 kD) (5G231)
1387130_at,1.247481028333333,9.3291225435,7.161248264142184,0.0002455476217868,0.2307645980279637,0.8309146182021312,Slc40a1,"solute carrier family 39 (iron-regulated transporter), member 1"
1391226_at,1.183881998333333,4.134357968833333,6.972995960556934,0.0002873447987725,0.2307645980279637,0.7126971067858365,Rasgrf2,RAS protein-specific guanine nucleotide-releasing factor 2
1384312_at,1.073198636333332,4.779323736833334,6.877907414409512,0.0003114893603538,0.2307645980279637,0.6513307871114113,Irx1,Iroquois related homeobox 1 (Drosophila)
1382327_at,2.585812250666667,5.983703613333334,6.842259911565069,0.0003211275449578,0.2307645980279637,0.6280331190745008,Doc2g,"double C2, gamma"
1379190_at,1.008258501333333,6.024152437666666,6.786589599557407,0.0003368635559208,0.2307645980279637,0.5913266367239567,Oxct2a,3-oxoacid CoA transferase 2A
1370550_at,1.439813454666665,5.558823824,6.725211486333305,0.0003552348567847,0.2307645980279637,0.550395854075763,Lsamp,limbic system-associated membrane protein
1389079_at,2.336294333666667,8.8634900255,6.71105757976057,0.0003596307768003,0.2307645980279637,0.5408879598169234,Dhrs7c,dehydrogenase/reductase (SDR family) member 7C
1372297_at,1.609731992666665,10.00974925366667,6.579319145164526,0.0004036403349488,0.2307645980279637,0.4511316126554794,Gsta4,"glutathione S-transferase, alpha 4"
1374125_at,1.186735312333332,7.657653729166666,6.377839919817864,0.0004832665375896,0.2307645980279637,0.3093523200642982,Gata5,GATA binding protein 5
1388210_at,1.427015781333333,8.734636068333334,6.368489730351408,0.0004873722733172,0.2307645980279637,0.3026373470610828,Acot2,acyl-CoA thioesterase 2
1388211_s_at,1.499693075666666,7.5782425405,6.352081716205118,0.0004946728848954,0.2307645980279637,0.2908242557842646,Acot2,acyl-CoA thioesterase 2
1367679_at,3.082622130666667,6.373868028333334,6.316153623265022,0.0005110948370893,0.2307645980279637,0.2648260176292556,Cd74,"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
1394392_at,1.469327291666667,9.4078807835,6.270432050345789,0.0005328919053448,0.2307645980279637,0.2314783238502178,RGD1307696,similar to dJ881L22.2 (novel protein)
1387023_at,1.195080120999999,7.004319826833333,6.251583597350538,0.00054218206171,0.2307645980279637,0.2176447354687907,Gstm3,"glutathione S-transferase, mu type 3"
1372158_at,1.257132688666664,8.312020381333333,6.21070580562674,0.0005629661092587,0.2307645980279637,0.1874689161950718,Macrod1,MACRO domain containing 1
1367951_at,1.898147582666666,8.130765915,6.201391079416785,0.0005678271698339,0.2307645980279637,0.1805593443581657,Pgam2,phosphoglycerate mutase 2
1380431_at,1.174303054666666,8.091594060333334,5.999106290182964,0.0006860378376457,0.2307645980279637,0.0273926730860267,RGD1308772,similar to KIAA0564 protein
1370198_at,1.688746770333333,8.459991455166668,5.950525579912819,0.0007184141546327,0.2307645980279637,-0.0102927368846801,Trdn,triadin
1384073_at,2.04053394,4.562637686666666,5.891599014148533,0.0007600228908082,0.2307645980279637,-0.0564808800429625,Adhfe1,"alcohol dehydrogenase, iron containing, 1"
1392845_at,1.009499391333333,4.011501232666666,5.830387672962546,0.0008061469978432,0.2307645980279637,-0.1050193840357734,Zfp354b,zinc finger protein 354B
1390412_at,1.292524337999998,9.317851702333334,5.780147880056964,0.0008463692890733,0.2307645980279637,-0.1452881247110227,Slc40a1,"solute carrier family 39 (iron-regulated transporter), member 1"
