"ID_REF","non_pulsed_196","non_pulsed_198","non_pulsed_201","pulsed_200","pulsed_203","pulsed_205"
"1367452_at",12.13211155,11.86779308,11.8597641,11.86602306,11.8000288,11.88649273
"1367453_at",10.64885807,10.90558529,10.71160126,10.80079746,10.66017151,10.83213711
"1367454_at",10.86532116,10.90408707,10.79473972,10.64750862,10.52728653,10.54591846
"1367455_at",11.5632019,11.76873493,11.65352726,11.73155022,11.70387745,11.62100887
"1367456_at",11.97041321,12.02438641,12.06882763,12.12883663,12.01699829,11.95661163
"1367457_at",10.50566769,10.60176182,10.69313526,10.71101665,10.63460159,10.73614597
"1367458_at",8.54039669,8.521305084,8.449339867,8.618648529,8.526154518,8.459101677
"1367459_at",12.2838316,12.27863789,12.22937679,12.20827866,12.12171364,12.22260284
"1367460_at",11.90915966,11.75266838,11.67525482,11.59693813,11.58144474,11.72477913
"1367461_at",10.88848495,10.70011902,10.77123928,10.73545647,10.57167625,10.56556606
"1367462_at",11.1253643,11.02100945,10.89169979,10.80380058,10.80319595,11.04777241
"1367463_at",10.35996151,10.85632992,10.86560059,11.1556139,11.17866039,11.02939892
"1367464_at",9.675333977,9.638344765,9.647158623,10.02884769,9.857909203,10.03963089
"1367465_at",10.7218008,10.98187828,10.76047325,10.71065903,10.54630852,10.53923035
"1367466_at",10.1479969,10.16990185,10.31111622,10.37204742,10.34227467,10.53866482
"1367467_at",10.89332676,10.99092388,10.97842693,10.93848801,11.13794327,11.13731956
"1367468_at",9.644178391,9.749712944,9.830368042,9.780863762,9.819211006,10.05032444
"1367469_at",12.83298683,12.77666664,12.7362175,12.83812237,12.77787399,12.83110619
"1367470_at",11.04080296,10.94849777,10.88849926,10.93420124,10.698246,10.81923771
"1367471_at",9.766819,10.14022732,10.04459381,10.27835464,10.26540852,10.35220146
"1367472_at",10.78972149,10.91062832,10.74676609,10.82824421,10.8169775,10.9923439
"1367473_at",10.67013454,10.75890541,10.80906105,10.74363518,10.88833714,10.85552692
"1367474_at",9.253322601,9.182528496,9.163898468,9.472578049,9.341347694,9.579808235
"1367475_at",11.92347431,11.76029491,11.65186882,11.6360836,11.47899532,11.72813892
"1367476_at",11.45226574,11.54984188,11.55924225,11.5194521,11.55717278,11.55611897
"1367477_at",10.04013348,10.32411194,10.47582436,10.4040699,10.63724422,10.4976902
"1367478_at",9.056556702,9.102358818,9.160654068,9.088013649,9.243533134,9.252885818
"1367479_at",11.18104076,11.53649807,11.56268406,11.50470829,11.69316483,11.41692543
"1367480_at",10.36165619,10.37675571,10.35761452,10.50920582,10.35739899,10.36744118
"1367481_at",9.945588112,9.830148697,9.993958473,9.927013397,10.11158085,10.1578722
"1367482_at",10.42474079,10.3306036,10.4518919,10.1903677,10.36005878,10.46943569
"1367483_at",9.141580582,9.252443314,9.437095642,9.297632217,9.596112251,9.723444939
"1367484_at",10.67987347,10.42335224,10.5167408,10.43024349,10.57085609,10.57614422
"1367485_at",10.87625408,10.84876442,10.88294792,10.84198093,10.85741711,10.82473469
"1367486_at",8.797828674,9.044978142,8.963717461,9.315485001,9.139990807,9.337220192
"1367487_at",8.096816063,7.841326237,8.165719986,8.098166466,8.050625801,8.022642136
"1367488_at",9.493647575,9.716248512,9.679452896,9.843056679,9.732719421,9.907636642
"1367489_at",7.679071426,7.620825291,7.748431206,7.796057224,7.560405731,7.799014568
"1367490_at",8.528938293,8.398159027,8.627869606,9.043904305,8.900120735,9.187924385
"1367491_at",10.00173664,9.914638519,10.05832767,10.05001831,9.939558029,9.917674065
"1367492_at",10.18816471,10.28129292,10.20804882,10.16376114,10.20569706,10.30677032
"1367493_at",9.988530159,9.811003685,9.848552704,10.0538578,9.941919327,9.943147659
"1367494_at",10.04987812,10.27212429,10.37399292,10.29214764,10.42803478,10.2247591
"1367495_at",10.41017628,10.21305466,10.32117748,10.1986227,10.10272503,9.721747398
"1367496_at",11.33890629,11.27651787,11.30355549,11.2628727,11.19214439,11.31706429
"1367497_at",9.990769386,9.891477585,9.805095673,9.710336685,9.51765728,9.486858368
"1367498_at",9.245775223,9.281103134,9.405619621,9.449939728,9.318281174,9.412771225
"1367499_at",8.16737175,8.25138855,8.627552032,8.708497047,8.431251526,8.416682243
"1367500_at",11.21134663,11.42604256,11.28318214,11.3870182,11.34176922,11.38707924
"1367501_at",9.57597065,9.445954323,9.494338989,9.597827911,9.521819115,9.538820267
"1367502_at",8.61393261,8.928134918,8.973464012,8.937412262,9.223856926,9.084239006
"1367503_at",10.7526083,10.92950344,10.85882759,10.71999454,10.74831581,10.69387913
"1367504_at",9.289107323,9.268044472,9.248865128,9.333678246,9.169527054,9.130648613
"1367505_at",8.76789856,8.677379608,8.774744034,8.771931648,8.682239532,8.879669189
"1367506_at",9.607914925,9.847062111,10.08434868,10.07433033,10.44267559,10.10414314
"1367507_at",7.175388813,7.083176136,7.210227966,7.39986515,7.293437481,7.635711193
"1367508_at",8.758580208,9.018330574,9.182875633,9.27166748,9.382338524,9.377750397
"1367509_at",10.25084686,10.4075737,10.42966843,10.45403671,10.63636684,10.6785984
"1367510_at",10.01668072,9.979268074,9.973134995,9.78371048,10.02761745,10.31408024
"1367511_at",9.565187454,9.17130661,9.407248497,9.267241478,9.346673012,9.646810532
"1367512_at",11.28557968,11.19999218,11.16516972,11.10422039,11.09428787,11.18263912
"1367513_at",9.623814583,9.375911713,9.537683487,9.339091301,9.49710083,9.66549015
"1367514_at",9.16179657,8.906544685,8.992630005,8.680868149,8.775242805,9.231402397
"1367515_at",9.496172905,9.386737823,9.601614952,9.649597168,9.752972603,9.627262115
"1367516_at",8.198244095,8.391042709,8.435098648,8.71553421,8.630717278,8.791353226
"1367517_at",7.72429657,7.01392746,7.487391472,7.175481796,7.491678715,8.327835083
"1367518_at",9.479650497,9.395009041,9.437604904,9.337410927,9.280358315,9.522771835
"1367519_at",9.280837059,9.559923172,9.510641098,9.413477898,9.373318672,9.561737061
"1367520_at",9.872228622,9.907024384,9.959511757,10.09786987,10.20157528,10.36818314
"1367521_at",7.649577618,8.364659309,8.020935059,8.460054398,8.053753853,7.922217846
"1367522_at",8.99229908,9.028767586,9.121548653,9.240209579,9.104875565,9.2805233
"1367523_at",10.04502106,9.985397339,10.15154266,9.82431221,10.01947117,10.12923717
"1367524_at",7.319354534,7.697754383,7.539088249,7.878796101,7.672235966,7.755190372
"1367525_at",10.16505337,9.796388626,10.09075642,9.88438797,9.867765427,10.33925438
"1367526_at",9.288186073,9.414556503,9.553089142,9.560136795,9.659072876,9.56255722
"1367527_at",7.977794647,8.031263351,8.088798523,8.195129395,8.542881012,8.485911369
"1367528_at",8.941748619,8.804315567,8.720317841,8.876747131,8.633167267,8.817879677
"1367529_at",9.733481407,9.643301964,9.600496292,9.489522934,9.547944069,9.701034546
"1367530_at",8.690043449,8.621846199,8.744344711,8.919216156,9.059137344,9.093712807
"1367531_at",11.05654526,11.06958008,10.96383095,11.10735416,10.97969437,11.28264999
"1367532_at",11.50905609,11.49306011,11.62175369,11.53315163,11.56239223,11.75615406
"1367533_at",9.088323593,9.333338737,9.400362015,9.248543739,9.437706947,9.268268585
"1367534_at",9.208422661,8.74686718,9.078569412,8.898215294,8.77944088,9.159402847
"1367535_at",8.425406456,9.017713547,8.702177048,8.997844696,8.826575279,8.960898399
"1367536_at",7.844388485,7.989842892,8.181746483,7.632027626,8.180269241,8.243400574
"1367537_at",8.931881905,9.253555298,9.217643738,9.489769936,9.334172249,9.312456131
