ID_REF,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene Symbol,Gene Description
1395117_at,0.7992559273333333,3.817898630666667,7.036216378199993,0.0002537209046234,0.9980474646312208,-3.641372830965106,Cdan1,"congenital dyserythropoietic anemia, type I (human)"
1384073_at,1.063505252,4.074123342666667,5.44268630680928,0.0011237911612671,0.9980474646312208,-3.736664223683606,Adhfe1,"alcohol dehydrogenase, iron containing, 1"
1384312_at,0.828682740666666,4.657065789000001,5.349151036332948,0.0012377933924625,0.9980474646312208,-3.744262621211225,Irx1,Iroquois related homeobox 1 (Drosophila)
1368107_at,-0.7260017390000008,3.857419172833333,-5.292776428344672,0.0013127371889043,0.9980474646312208,-3.748980533974937,Prl3c1,"Prolactin family 3, subfamily c, member 1"
1389548_at,0.8562537826666664,6.462007284333334,5.215754139608434,0.0014234798624391,0.9980474646312208,-3.75560056363778,Adhfe1,"alcohol dehydrogenase, iron containing, 1"
1369973_at,0.8080892563333335,7.126077016166667,5.196918108893596,0.0014521287347338,0.9980474646312208,-3.75725084421738,Xdh,xanthine dehydrogenase
1387273_at,-0.9234078733333344,10.81007544333333,-5.024540611204273,0.0017464768408989,0.9980474646312208,-3.772949685221088,Il1rl1,interleukin 1 receptor-like 1
1376459_at,0.6358939803333319,6.516232410833333,5.023815424909,0.0017478483739905,0.9980474646312208,-3.773018069282447,Aak1,AP2 associated kinase 1
1371026_at,0.9418081446666664,3.830184340333333,4.985666368620945,0.001821723922599,0.9980474646312208,-3.776644024139788,Ppfia4,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4"
1397630_at,0.6696083543333324,4.1742533445,4.581544766884973,0.0028600742432244,0.9980474646312208,-3.818741806578647,Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
1396872_at,0.5665586793333325,7.287382364333333,4.552377847259559,0.0029573893718811,0.9980474646312208,-3.822060299482726,Magi1,"membrane associated guanylate kinase, WW and PDZ domain containing 1"
1370992_a_at,0.6090668043333329,3.7130088805,4.438420443365503,0.0033744340971549,0.9980474646312208,-3.83541821563434,Fga,"fibrinogen, alpha polypeptide"
1397133_at,0.8077673909999995,3.8166080315,4.423951096067509,0.0034319013093561,0.9980474646312208,-3.837160047225827,Tdrd1,tudor domain containing 1
1384436_at,-0.595686912333334,4.588153203166667,-4.416329432354137,0.003462607435328,0.9980474646312208,-3.838081779021105,LOC683001,similar to Transmembrane protein 16B
1384362_at,0.6175271669999987,5.660136461166667,4.411880807411809,0.0034806706704661,0.9980474646312208,-3.838621131165665,Zbtb24,zinc finger and BTB domain containing 24
1373782_a_at,-0.5703749656666676,4.6363613605,-4.355617261726828,0.0037183634591601,0.9980474646312208,-3.845529555203096,Endog,endonuclease G
1368178_at,-0.6940822600000003,4.719266891333334,-4.338478720521073,0.003794297450385,0.9980474646312208,-3.84766635853088,Pdzk1,PDZ domain containing 1
1373233_at,0.5715181033333326,6.412896394666666,4.275890987664753,0.0040865289175406,0.9980474646312208,-3.85560083636288,Lhfpl2,lipoma HMGIC fusion partner-like 2
1385160_at,0.9602076209999992,4.703526655833334,4.234714706240845,0.0042923271908294,0.9980474646312208,-3.860935183315325,LOC691926,similar to Stabilin-2 precursor (Hyaluronan receptor for endocytosis)
1375198_at,0.8180762926666656,6.595330635666667,4.189259430479995,0.0045329067774166,0.9980474646312208,-3.86693147088434,LOC690139,similar to RNA binding motif protein 24
1390668_at,0.6200105349999996,4.5418117045,4.14629354885346,0.0047740589566612,0.9980474646312208,-3.872705105284282,Smc3,structural maintenace of chromosomes 3
1390883_at,0.4224576949999982,8.927915732166667,4.133227201303822,0.004850176600837,0.9980474646312208,-3.874481594849629,Akap11,A kinase (PRKA) anchor protein 11
1376565_at,0.5748774209999986,7.377782185833333,4.130265669993173,0.0048676143678243,0.9980474646312208,-3.874885593398146,Pde4a,"phosphodiesterase 4A, cAMP specific"
1376114_at,0.6975032486666664,4.903666575666667,4.114743012956191,0.0049601513089056,0.9980474646312208,-3.877011327200973,Kcng2,"potassium voltage-gated channel, subfamily G, member 2"
1378841_at,0.5336511933333323,7.631242513666667,4.105776312115134,0.0050144881144566,0.9980474646312208,-3.878245565248931,RGD1307554,similar to CG16812-PA
1398225_at,0.606507142,6.382300456333334,4.088674090050442,0.0051199531657452,0.9980474646312208,-3.880612502756998,Chd6,chromodomain helicase DNA binding protein 6
1379361_at,0.668831825333332,6.968584060666666,4.060282425468388,0.0053004753434936,0.9980474646312208,-3.884579462422208,Pex11a,peroxisomal biogenesis factor 11A
1394392_at,1.021174749333334,9.183804512333332,4.04575511092427,0.0053955462806632,0.9980474646312208,-3.886627543798597,RGD1307696,similar to dJ881L22.2 (novel protein)
1398527_at,0.7786550519999997,6.010385672333333,4.041243611630835,0.0054254517017765,0.9980474646312208,-3.887266116856591,Aak1,AP2 associated kinase 1
1370692_at,-0.6841939290000009,5.952436606166667,-4.024624079514477,0.0055372021232407,0.9980474646312208,-3.889628919626158,Il1rl1,interleukin 1 receptor-like 1
1384262_at,0.9645407993333324,6.798881212666667,4.011015574564699,0.005630593636148,0.9980474646312208,-3.891575903855527,Ppp1r3b,"protein phosphatase 1, regulatory (inhibitor) subunit 3B"
1379405_at,0.4839051566666651,8.145221074333334,4.002346156888361,0.0056909925173722,0.9980474646312208,-3.892822033815609,Grlf1,glucocorticoid receptor DNA binding factor 1
1378825_a_at,0.6728758813333331,7.722516775,3.997818287144626,0.0057228207277499,0.9980474646312208,-3.893474660296619,Dennd4b,DENN/MADD domain containing 4B
1368377_at,-0.5814325810000005,3.809919079166667,-3.99586337592316,0.0057366230532999,0.9980474646312208,-3.893756814136296,Gzmc,granzyme C
1367954_at,-0.4883286163333347,6.436839103833333,-3.963921345781948,0.0059674085627542,0.9980474646312208,-3.898399824773037,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1
