ID_REF,non_pulsed_196,non_pulsed_198,non_pulsed_201,non_pulsed_197,non_pulsed_199,non_pulsed_202
1367452_at,12.13211155,11.86779308,11.8597641,12.01730061,12.00351524,11.80924988
1367453_at,10.64885807,10.90558529,10.71160126,10.62296295,10.91468143,10.63392925
1367454_at,10.86532116,10.90408707,10.79473972,10.68872261,10.72447014,10.72078609
1367455_at,11.5632019,11.76873493,11.65352726,11.60822105,11.77365875,11.6837101
1367456_at,11.97041321,12.02438641,12.06882763,11.94524956,12.06342316,12.00688553
1367457_at,10.50566769,10.60176182,10.69313526,10.39948463,10.72443962,10.77323818
1367458_at,8.54039669,8.521305084,8.449339867,8.446558952,8.526796341,8.539341927
1367459_at,12.2838316,12.27863789,12.22937679,12.20144749,12.26391125,12.21031189
1367460_at,11.90915966,11.75266838,11.67525482,11.76860046,11.6055069,11.6421299
1367461_at,10.88848495,10.70011902,10.77123928,10.66554642,10.64644527,10.84950447
1367462_at,11.1253643,11.02100945,10.89169979,11.05414486,10.97046566,10.8996706
1367463_at,10.35996151,10.85632992,10.86560059,10.62699604,10.92857075,10.80373764
1367464_at,9.675333977,9.638344765,9.647158623,9.849098206,9.913006783,9.717736244
1367465_at,10.7218008,10.98187828,10.76047325,10.59826565,10.74179268,10.73309422
1367466_at,10.1479969,10.16990185,10.31111622,10.30605221,10.26241398,10.44154167
1367467_at,10.89332676,10.99092388,10.97842693,10.72336483,10.99478436,11.05310631
1367468_at,9.644178391,9.749712944,9.830368042,9.921599388,9.795858383,9.723269463
1367469_at,12.83298683,12.77666664,12.7362175,12.83224487,12.72651958,12.74786377
1367470_at,11.04080296,10.94849777,10.88849926,10.77111912,10.94657612,10.88253307
1367471_at,9.766819,10.14022732,10.04459381,10.40467644,10.17148209,10.08412838
1367472_at,10.78972149,10.91062832,10.74676609,10.91551399,10.82420349,10.83305931
1367473_at,10.67013454,10.75890541,10.80906105,10.80810928,10.73983002,10.70655918
1367474_at,9.253322601,9.182528496,9.163898468,9.462954521,9.294311523,9.176903725
1367475_at,11.92347431,11.76029491,11.65186882,11.88758755,11.73695469,11.66579723
1367476_at,11.45226574,11.54984188,11.55924225,11.47087002,11.57416916,11.60048866
1367477_at,10.04013348,10.32411194,10.47582436,10.18386555,10.40021133,10.4594202
1367478_at,9.056556702,9.102358818,9.160654068,9.055356979,9.175100327,9.341546059
1367479_at,11.18104076,11.53649807,11.56268406,11.37112141,11.5289135,11.57173347
1367480_at,10.36165619,10.37675571,10.35761452,10.3703289,10.34299755,10.31774521
1367481_at,9.945588112,9.830148697,9.993958473,10.03517723,9.916838646,9.921257973
1367482_at,10.42474079,10.3306036,10.4518919,10.46128654,10.27667809,10.39947414
1367483_at,9.141580582,9.252443314,9.437095642,9.54275322,9.32144928,9.30812645
1367484_at,10.67987347,10.42335224,10.5167408,10.52316093,10.40826607,10.46080494
1367485_at,10.87625408,10.84876442,10.88294792,10.75435829,10.86975479,10.88342381
1367486_at,8.797828674,9.044978142,8.963717461,9.08428669,9.288165092,9.024412155
1367487_at,8.096816063,7.841326237,8.165719986,7.947330952,7.981541634,8.153785706
1367488_at,9.493647575,9.716248512,9.679452896,9.704381943,9.683698654,9.584210396
1367489_at,7.679071426,7.620825291,7.748431206,7.755065441,7.710888386,7.7755723
1367490_at,8.528938293,8.398159027,8.627869606,8.945051193,8.699486732,8.750969887
1367491_at,10.00173664,9.914638519,10.05832767,9.956221581,9.982283592,9.977061272
1367492_at,10.18816471,10.28129292,10.20804882,10.06585884,10.24349213,10.05903912
1367493_at,9.988530159,9.811003685,9.848552704,9.903943062,9.902997971,9.9696064
1367494_at,10.04987812,10.27212429,10.37399292,10.16880131,10.29558659,10.29418182
1367495_at,10.41017628,10.21305466,10.32117748,9.900216103,10.13446236,10.19654083
1367496_at,11.33890629,11.27651787,11.30355549,11.29170418,11.23769951,11.33137894
1367497_at,9.990769386,9.891477585,9.805095673,9.307593346,9.818463326,9.814445496
1367498_at,9.245775223,9.281103134,9.405619621,9.404702187,9.380308151,9.427370071
1367499_at,8.16737175,8.25138855,8.627552032,8.123573303,8.195796967,8.447159767
1367500_at,11.21134663,11.42604256,11.28318214,11.32999897,11.42522812,11.292449
1367501_at,9.57597065,9.445954323,9.494338989,9.475904465,9.31787014,9.625569344
1367502_at,8.61393261,8.928134918,8.973464012,8.816226006,8.963445663,9.019485474
1367503_at,10.7526083,10.92950344,10.85882759,10.63581085,10.95431137,10.81548309
1367504_at,9.289107323,9.268044472,9.248865128,9.218945503,9.200853348,9.11139679
1367505_at,8.76789856,8.677379608,8.774744034,8.979680061,8.702342987,8.942210197
1367506_at,9.607914925,9.847062111,10.08434868,9.773618698,10.04241562,10.1114769
1367507_at,7.175388813,7.083176136,7.210227966,7.61648035,7.080839157,7.351644993
1367508_at,8.758580208,9.018330574,9.182875633,8.948581696,9.182984352,9.151705742
1367509_at,10.25084686,10.4075737,10.42966843,10.56189919,10.50364208,10.45334244
1367510_at,10.01668072,9.979268074,9.973134995,10.06586647,10.08902836,9.980004311
1367511_at,9.565187454,9.17130661,9.407248497,9.584609032,9.197063446,9.577566147
1367512_at,11.28557968,11.19999218,11.16516972,11.21068573,11.2400713,11.23108768
1367513_at,9.623814583,9.375911713,9.537683487,9.59721756,9.342115402,9.427909851
1367514_at,9.16179657,8.906544685,8.992630005,8.943863869,8.783265114,9.01469326
1367515_at,9.496172905,9.386737823,9.601614952,9.590312958,9.470404625,9.529788017
