ID_REF,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene Symbol,Gene Description
1368107_at,-0.7260017390000008,3.857419172833333,-5.292776428344672,0.0013127371889043,0.9980474646312208,-3.748980533974937,Prl3c1,"Prolactin family 3, subfamily c, member 1"
1387273_at,-0.9234078733333344,10.81007544333333,-5.024540611204273,0.0017464768408989,0.9980474646312208,-3.772949685221088,Il1rl1,interleukin 1 receptor-like 1
1384436_at,-0.595686912333334,4.588153203166667,-4.416329432354137,0.003462607435328,0.9980474646312208,-3.838081779021105,LOC683001,similar to Transmembrane protein 16B
1373782_a_at,-0.5703749656666676,4.6363613605,-4.355617261726828,0.0037183634591601,0.9980474646312208,-3.845529555203096,Endog,endonuclease G
1368178_at,-0.6940822600000003,4.719266891333334,-4.338478720521073,0.003794297450385,0.9980474646312208,-3.84766635853088,Pdzk1,PDZ domain containing 1
1370692_at,-0.6841939290000009,5.952436606166667,-4.024624079514477,0.0055372021232407,0.9980474646312208,-3.889628919626158,Il1rl1,interleukin 1 receptor-like 1
1368377_at,-0.5814325810000005,3.809919079166667,-3.99586337592316,0.0057366230532999,0.9980474646312208,-3.893756814136296,Gzmc,granzyme C
1367954_at,-0.4883286163333347,6.436839103833333,-3.963921345781948,0.0059674085627542,0.9980474646312208,-3.898399824773037,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1
1382518_at,-0.5814797080000003,5.108029047666667,-3.891053252965814,0.0065330224482673,0.9980474646312208,-3.90922637137264,Pde8a,phosphodiesterase 8A
1380958_at,-0.6587351956666674,4.445250868833333,-3.87425642506843,0.006671590280025,0.9980474646312208,-3.911769015165309,Wnt7a,wingless-related MMTV integration site 7A
1368693_at,-0.8155620893333351,5.050438801333334,-3.844616750776496,0.0069240376862194,0.9980474646312208,-3.916299399980403,Fgr,Gardner-Rasheed feline sarcoma viral (Fgr) oncogene homolog
1393049_at,-0.635020256333334,4.710849285166667,-3.74017955964443,0.0079005181442978,0.9980474646312208,-3.93271505443899,Myo1g,myosin IG
1368460_at,-0.5139149030000011,5.304627498166667,-3.735741271521974,0.007945228373635,0.9980474646312208,-3.933428564335776,Slc2a5,"solute carrier family 2 (facilitated glucose/fructose transporter), member 5"
1369685_at,-0.8209380310000008,4.411288937166667,-3.699937586011124,0.008316188805499,0.9980474646312208,-3.939232677905121,Twist2,twist homolog 2 (Drosophila)
1388101_at,-0.5435603460000002,5.542648315333333,-3.692282799377542,0.0083979309526018,0.9980474646312208,-3.940484790022747,Dpysl3,dihydropyrimidinase-like 3
1389597_at,-0.5188368956666674,3.8881322145,-3.68683666759689,0.0084566220322798,0.9980474646312208,-3.941378043155203,Pgbd5,piggyBac transposable element derived 5
1370424_at,-0.7626322903333337,4.1145615975,-3.672806574198617,0.0086098931404051,0.9980474646312208,-3.943688486814,Prb1,proline-rich protein BstNI subfamily 1
